Price,Predicted_Quantity,Revenue
47.7,425.9849377148454,20319.481528998127
50.35616161616162,424.8092816315188,21391.76484188228
53.01232323232323,423.69707114575056,22461.16608816718
55.66848484848485,422.64194971068116,23527.83697380315
58.32464646464647,421.6384641773001,24591.91435903753
60.98080808080809,420.68190188299593,25653.522321796314
63.6369696969697,419.7681628142121,26712.773856760658
66.29313131313131,418.89365816558694,27769.772287009197
68.94929292929294,418.0552290216973,28824.612446439653
71.60545454545455,417.25008055964076,29877.381677600606
74.26161616161616,416.47572835243346,30928.160679537934
76.91777777777779,415.7299542005755,31977.0242327656
79.5739393939394,415.01076953489405,33024.04182280181
82.23010101010101,414.31638488676566,34069.27817937863
84.88626262626263,413.645184258872,35112.79374508741
87.54242424242425,412.9957034830939,36154.645084615455
90.19858585858586,412.36661184461417,37194.88524368058
92.85474747474748,411.756696398799,38233.56406514675
95.5109090909091,411.1648485214375,39270.72846850842
98.1670707070707,410.5900523217583,40306.42269788991
100.82323232323233,410.0313746173836,41340.68854286278
103.47939393939394,409.4879562255287,42373.565535698785
106.13555555555556,408.9590043686501,43405.09112811355
108.79171717171718,408.44378602790766,44435.3008500935
111.44787878787879,407.94162210613945,45464.22845301568
114.10404040404042,407.45188228501064,46491.90603895117
116.76020202020203,406.9739804797094,47518.364177776624
119.41636363636364,406.50737080988034,48543.63201349479
122.07252525252527,406.051544018099,49567.737360976265
124.72868686868688,405.6060242776118,50590.706794175254
127.38484848484849,405.170366339723,51612.56572673617
130.0410101010101,404.7441529784295,52633.33848579273
132.69717171717173,404.32699269594406,53653.048379661326
135.35333333333335,403.91851765783287,54671.717760046544
138.00949494949498,403.518381830771,55689.36807930217
140.66565656565658,403.1262592995524,56706.01994322865
143.32181818181817,402.7418427430689,57721.693159832525
145.9779797979798,402.36484205160053,58736.406784425875
148.63414141414142,401.9949830700013,59750.17916140196
151.29030303030305,401.6320064532927,60763.02796298728
153.94646464646468,401.27566662282953,61774.97022523797
156.60262626262627,400.9257308126297,62786.02238152055
159.25878787878787,400.58197819669664,63796.200293692935
161.9149494949495,400.2441990892281,64805.51928117888
164.57111111111112,399.91219421053796,65813.9941481107
167.22727272727275,399.5857740123271,66821.6392086978
169.88343434343437,399.26475805664387,67828.46831096307
172.53959595959597,398.94897444349704,68834.49485897616
175.19575757575757,398.6382592826236,69839.73183370051
177.8519191919192,398.33245620539304,70844.19181256025
180.50808080808082,398.0314159132487,71847.88698782351
183.16424242424245,397.73499575945635,72850.8291838901
185.82040404040407,397.4430593612612,73853.02987356385
188.4765656565657,397.15547623983997,74854.50019338282
191.13272727272727,396.87212148569716,75855.25095807444
193.7888888888889,396.5928754473799,76855.29267419726
196.44505050505052,396.3176234415914,77854.63555302501
199.10121212121214,396.04625548296417,78853.28952272543
201.75737373737377,395.77866603191706,79851.26423988072
204.4135353535354,395.51475375916607,80848.56910039415
207.06969696969696,395.2544213255862,81845.21324982206
209.7258585858586,394.9975751762428,82841.20559316974
212.38202020202021,394.7441253475124,83836.55480418418
215.03818181818184,394.4939852863095,84831.26933417657
217.69434343434347,394.2470716805195,85825.35742040325
220.3505050505051,394.0033042998164,86818.82709403239
223.00666666666666,393.76260584611197,87811.68618772193
225.6628282828283,393.52490181294655,88803.94234283183
228.3189898989899,393.29012035318914,89795.60301629231
230.97515151515154,393.05819215446434,90786.67548714895
233.63131313131316,392.8290503217723,91777.16686280236
236.2874747474748,392.6026302668096,92767.08408496097
238.94363636363636,392.37886960353825,93756.43393532254
241.59979797979798,392.1577080495837,94745.22304100002
244.2559595959596,391.9390873330785,95733.4578797057
246.91212121212124,391.72295110459277,96721.14478470705
249.56828282828286,391.50924485382393,97708.28994956658
252.2244444444445,391.2979158307407,98694.89943267757
254.88060606060606,391.0889129708981,99680.97916160613
257.5367676767677,390.8821868246625,100666.53493725
260.1929292929293,390.6776894901046,101651.57243782378
262.84909090909093,390.475374549334,102636.09722267922
265.50525252525256,390.27519700806585,103620.11473596921
268.1614141414142,390.0771132382264,104603.63031016334
270.81757575757575,389.8810809234145,105586.64916942234
273.4737373737374,389.68705900705163,106569.17643283853
276.129898989899,389.49500764306276,107551.21711754886
278.78606060606063,389.3048881489412,108532.77614172637
281.44222222222226,389.11666296106154,109513.85832745663
284.0983838383839,388.930295592112,110494.46840350392
286.75454545454545,388.7457505905274,111474.61100797278
289.4107070707071,388.5629935018109,112454.29069086966
292.0668686868687,388.38199083164045,113433.51191656938
294.7230303030303,388.2027100106616,114412.2790661907
297.37919191919195,388.0251193608758,115390.59643988525
300.0353535353536,387.84918806353807,116368.46825904348
302.69151515151515,387.6748861284836,117345.8986684218
305.3476767676768,387.50218436480714,118322.89173819382
308.0038383838384,387.3310543528258,119299.45146592948
310.66,387.1614684172568,120275.581778505
